0 1 2 1.97531
1 3 10 1.73205
1 3 11 2
1 3 12 2
1 3 13 2
1 3 14 1.90693
1 4 5 1.90693
1 4 6 2.13664
1 4 7 1.81265
1 4 8 2.19089
1 4 9 2.16025
1 4 10 2.19089
1 4 11 2
1 4 12 2.19089
1 4 13 2.19089
1 4 14 2.19089
1 5 6 1.73205
1 5 7 1.73205
1 5 8 1.90693
1 5 9 1.85164
1 5 10 1.90693
1 5 11 1.73205
1 5 12 1.90693
1 5 13 1.90693
1 5 14 1.90693
1 6 7 1.96214
1 6 8 2.28446
1 6 9 2.44949
1 6 10 2.23607
1 6 11 2.23607
1 6 12 2.44949
1 6 13 2.44949
1 6 14 2.28446
1 7 8 2
1 7 9 1.96769
1 7 10 2
1 7 11 1.93309
1 7 12 1.97531
1 7 13 1.97531
1 7 14 2
1 8 9 2.3094
1 8 10 2.28446
1 8 11 2.19089
1 8 12 2.38048
1 8 13 2.38048
1 8 14 2.3094
1 9 10 2.26385
1 9 11 2.23607
1 9 12 2.44949
1 9 13 2.44949
1 9 14 2.3094
1 10 11 2.13664
1 10 12 2.28446
1 10 13 2.28446
1 10 14 2.28446
1 11 12 2.23607
1 11 13 2.23607
1 11 14 2.19089
1 12 13 2.44949
1 12 14 2.38048
1 13 14 2.38048
2 3 4 2.23607
2 3 5 2.19034
2 3 6 2.326
2 3 7 2.08167
2 3 8 2.02367
2 3 9 2.326
2 3 10 2.16556
2 3 11 2.326
2 3 12 2.20605
2 3 13 2.16025
2 3 14 2.27837
2 4 5 2.29907
2 4 6 2.34521
2 4 7 2
2 4 8 2.14154
2 4 9 2.32379
2 4 10 2.27395
2 4 11 2.28239
2 4 12 2.18282
2 4 13 2.14542
2 4 14 2.31595
2 5 6 2.25948
2 5 7 2.04939
2 5 8 2.02367
2 5 9 2.27689
2 5 10 2.19848
2 5 11 2.24649
2 5 12 2.16025
2 5 13 2.08484
2 5 14 2.29907
2 6 7 2.08167
2 6 8 2.1693
2 6 9 2.44949
2 6 10 2.26855
2 6 11 2.38791
2 6 12 2.29989
2 6 13 2.27798
2 6 14 2.36834
2 7 8 1.62019
2 7 9 2.08167
2 7 10 1.85164
2 7 11 2.08167
2 7 12 2
2 7 13 2
2 7 14 2
2 8 9 2.18436
2 8 10 2.1693
2 8 11 2.14154
2 8 12 2.12538
2 8 13 2.16025
2 8 14 2.18436
2 9 10 2.29129
2 9 11 2.38791
2 9 12 2.3094
2 9 13 2.28841
2 9 14 2.37793
2 10 11 2.2514
2 10 12 2.1693
2 10 13 2.1391
2 10 14 2.29374
2 11 12 2.27761
2 11 13 2.2563
2 11 14 2.34937
2 12 13 2.20678
2 12 14 2.2711
2 13 14 2.24812
3 4 5 2.35584
3 4 6 2.53859
3 4 7 2.23607
3 4 8 2.32266
3 4 9 2.53859
3 4 10 2.48193
3 4 11 2.53859
3 4 12 2.36827
3 4 13 2.33699
3 4 14 2.50805
3 5 6 2.37
3 5 7 2.19034
3 5 8 2.07802
3 5 9 2.37
3 5 10 2.29129
3 5 11 2.37
3 5 12 2.19034
3 5 13 2.15297
3 5 14 2.35584
3 6 7 2.326
3 6 8 2.42507
3 6 9 2.63095
3 6 10 2.52678
3 6 11 2.63095
3 6 12 2.51916
3 6 13 2.50333
3 6 14 2.60951
3 7 8 2.02367
3 7 9 2.326
3 7 10 2.16556
3 7 11 2.326
3 7 12 2.20605
3 7 13 2.16025
3 7 14 2.27837
3 8 9 2.42507
3 8 10 2.39046
3 8 11 2.42507
3 8 12 2.3094
3 8 13 2.28446
3 8 14 2.40662
3 9 10 2.52678
3 9 11 2.63095
3 9 12 2.51916
3 9 13 2.50333
3 9 14 2.60951
3 10 11 2.52678
3 10 12 2.39046
3 10 13 2.35488
3 10 14 2.52678
3 11 12 2.51916
3 11 13 2.50333
3 11 14 2.60951
3 12 13 2.44949
3 12 14 2.5
3 13 14 2.46311
4 5 6 2.55604
4 5 7 2.29907
4 5 8 2.42507
4 5 9 2.57782
4 5 10 2.54674
4 5 11 2.53859
4 5 12 2.44949
4 5 13 2.43521
4 5 14 2.57669
4 6 7 2.34521
4 6 8 2.68164
4 6 9 2.78002
4 6 10 2.77498
4 6 11 2.74169
4 6 12 2.67169
4 6 13 2.67896
4 6 14 2.77991
4 7 8 2.14154
4 7 9 2.32379
4 7 10 2.27395
4 7 11 2.28239
4 7 12 2.18282
4 7 13 2.14542
4 7 14 2.31595
4 8 9 2.69077
4 8 10 2.69472
4 8 11 2.62216
4 8 12 2.62912
4 8 13 2.64575
4 8 14 2.69472
4 9 10 2.77766
4 9 11 2.74169
4 9 12 2.70185
4 9 13 2.68845
4 9 14 2.78782
4 10 11 2.72385
4 10 12 2.69472
4 10 13 2.68408
4 10 14 2.78303
4 11 12 2.6176
4 11 13 2.62202
4 11 14 2.74037
4 12 13 2.63923
4 12 14 2.70288
4 13 14 2.69472
5 6 7 2.25948
5 6 8 2.39046
5 6 9 2.57032
5 6 10 2.52678
5 6 11 2.56038
5 6 12 2.44949
5 6 13 2.42997
5 6 14 2.55604
5 7 8 2.02367
5 7 9 2.27689
5 7 10 2.19848
5 7 11 2.24649
5 7 12 2.16025
5 7 13 2.08484
5 7 14 2.29907
5 8 9 2.40662
5 8 10 2.42507
5 8 11 2.32266
5 8 12 2.3094
5 8 13 2.28446
5 8 14 2.42507
5 9 10 2.54058
5 9 11 2.56038
5 9 12 2.45764
5 9 13 2.50713
5 9 14 2.57782
5 10 11 2.48193
5 10 12 2.42507
5 10 13 2.389
5 10 14 2.54674
5 11 12 2.39792
5 11 13 2.39046
5 11 14 2.53859
5 12 13 2.44949
5 12 14 2.44949
5 13 14 2.43521
6 7 8 2.1693
6 7 9 2.44949
6 7 10 2.26855
6 7 11 2.38791
6 7 12 2.29989
6 7 13 2.27798
6 7 14 2.36834
6 8 9 2.74453
6 8 10 2.72185
6 8 11 2.69472
6 8 12 2.67706
6 8 13 2.65417
6 8 14 2.73139
6 9 10 2.81268
6 9 11 2.82672
6 9 12 2.78924
6 9 13 2.77833
6 9 14 2.85596
6 10 11 2.77498
6 10 12 2.72185
6 10 13 2.71163
6 10 14 2.81268
6 11 12 2.73861
6 11 13 2.74064
6 11 14 2.81356
6 12 13 2.71341
6 12 14 2.77498
6 13 14 2.76353
7 8 9 2.18436
7 8 10 2.1693
7 8 11 2.14154
7 8 12 2.12538
7 8 13 2.16025
7 8 14 2.18436
7 9 10 2.29129
7 9 11 2.38791
7 9 12 2.3094
7 9 13 2.28841
7 9 14 2.37793
7 10 11 2.2514
7 10 12 2.1693
7 10 13 2.1391
7 10 14 2.29374
7 11 12 2.27761
7 11 13 2.2563
7 11 14 2.34937
7 12 13 2.20678
7 12 14 2.2711
7 13 14 2.24812
8 9 10 2.73139
8 9 11 2.69472
8 9 12 2.68222
8 9 13 2.67706
8 9 14 2.74072
8 10 11 2.68164
8 10 12 2.67706
8 10 13 2.65417
8 10 14 2.74453
8 11 12 2.62912
8 11 13 2.64575
8 11 14 2.69077
8 12 13 2.63923
8 12 14 2.68222
8 13 14 2.67706
9 10 11 2.77498
9 10 12 2.73139
9 10 13 2.72172
9 10 14 2.81869
9 11 12 2.73861
9 11 13 2.74064
9 11 14 2.81356
9 12 13 2.736
9 12 14 2.78143
9 13 14 2.76677
10 11 12 2.68164
10 11 13 2.66231
10 11 14 2.77498
10 12 13 2.65417
10 12 14 2.74453
10 13 14 2.7314
11 12 13 2.68949
11 12 14 2.71649
11 13 14 2.72279
12 13 14 2.71042
